Tournées;Secteur_geo;Ilôt 1;Ilôt 2;Ilôt 3;Ilôt 4;Ilôt 5;Ilôt 6;t. transport;Code Client;Ordonnancement;Envoi papier
AC02A_ARCACHON;Bassin d'Arcachon;AC02A;AC02B;;;;;NCI5-026;LEV293236-0;;
AC03A_ARCACHON;Bassin d'Arcachon;AC03A;AC03B;;;;;NCI5-VCPDEPOT-008;LEV7826-0;07/01/2026 10:07;
AL01A_AMBARES EST;Bordeaux;AL01A;AL01B;;;;;NCI1-VCP-007;LEV21702-0;06/01/2026 09:25;
AL02A_AMBARES OUEST;Bordeaux;AL02A;AL02B;AL02C;;;;NCI1-VCP-009;LEV591322-0;06/01/2026 09:23;
AN01A_ANDERNOS RN;Bassin d'Arcachon;AN01A;;;;;;ME07-VCP-006;LEV204311-0;06/03/2026 16:00;
AN02A_ANDERNOS;Bassin d'Arcachon;AN02A;;;;;;ME07-VCP-008;LEV573894-0;06/03/2026 15:59;
ART1A_ARTIGUES;Bordeaux;ART1A;;;;;;NCI1-VCP-004;LEV249894-0;19/12/2025 09:23;
AU02A_AUDENGE;Bassin d'Arcachon;AU01A;;;;;;ME07-VCP-009;LEV533155-0;;
AR02A_ARES;Bassin d'Arcachon;AR01A;AR02A;;;;;ME99-VCPOUEST-042;LEV6686-0;;
BA01A_SAINT AUGUSTIN;Bordeaux;BA01A;BA01B;;;;;ME99-VCPOUEST-042;LEV6816-0;20/02/2026 11:03;
BA02A_SAINT AUGUSTIN;Bordeaux;BA02A;;;;;;ME99-VCPOUEST-003;LEV7784-0;06/01/2026 13:12;
BAS1A_BASSENS;Bordeaux;BAS1A;;;;;;NCI1-VCP-001;LEV683470-0;;
BB01A_BELIN BELIET;Bassin d'Arcachon;BB01A;;;;;;NCI5-VCPDEPOT-003;LEV682548-0;;
BP01A_LE BARP;Bassin d'Arcachon;BP01A;;;;;;NCI5-VCPDEPOT-003;LEV237678-0;;
BC01A_CAUDERAN;Bordeaux;BC01A;BC01B;;;;;ME99-VCPNORD-004;LEV230103-0;;
BC02A_CAUDERAN;Bordeaux;BC02A;BC02B;BC02C;;;;ME99-VCPOUEST-007;LEV7139-0;;
BC03A_CAUDERAN;Bordeaux;BC03A;BC03B;BC03C;;;;ME99-VCPOUEST-016;LEV234615-0;;
ME02A MERIGNAC;Bordeaux;ME02A;ME02B;;;;;ME99-VCPOUEST-016;LEV234615-0;;
BC04A_CAUDERAN;Bordeaux;BC04A;BC04B;;;;;ME99-VCPOUEST-008;LEV7163-0;;
BC05A_CAUDERAN;Bordeaux;BC05A;BC05B;BC05C;BC05D;;;ME99-VCPOUEST-011;LEV24582-0;20/02/2026 14:28;
BC06A_CAUDERAN;Bordeaux;BC06A;;;;;;ME99-VCPOUEST-013;LEV7499-0;;
BDX2A_BORDEAUX WILSON;Bordeaux;BDX2A;BDX2B;;;;;BE99-VCPBE-065;LEV2714-0;;
BX07A_BORDEAUX;Bordeaux;BX07A;;;;;;BE99-VCPBE-065;LEV2714-0;;
